Company,Sentiment,Price,Date,Decision
AMZN,negative,54.193399155486134,2025-02-07T13:35:00Z,sell
AMZN,positive,54.193399155486134,2025-02-06T21:03:37Z,buy
AMZN,positive,54.193399155486134,2025-02-05T14:30:00Z,buy
AMZN,positive,54.193399155486134,2025-02-07T17:23:00Z,buy
AMZN,positive,54.193399155486134,2025-02-06T15:20:00Z,buy
AMZN,positive,54.193399155486134,2025-02-03T16:10:00Z,buy
AMZN,negative,54.193399155486134,2025-02-05T12:57:00Z,sell
AMZN,negative,54.193399155486134,2025-01-30T19:05:00Z,sell
AMZN,neutral,54.193399155486134,2025-02-07T14:26:26Z,hold
AMZN,positive,54.193399155486134,2025-02-05T10:00:00Z,buy
AMZN,negative,54.193399155486134,2025-01-29T18:33:00Z,sell
AMZN,positive,54.193399155486134,2025-01-15T09:00:00Z,buy
AMZN,positive,54.193399155486134,2025-01-12T12:51:36Z,buy
AMZN,positive,54.193399155486134,2025-01-21T21:05:00Z,buy
AMZN,negative,54.193399155486134,2025-02-04T13:24:00Z,sell
AMZN,positive,54.193399155486134,2025-02-06T21:34:00Z,buy
AMZN,positive,54.193399155486134,2025-01-27T17:16:00Z,buy
AMZN,positive,54.193399155486134,2025-01-21T16:48:00Z,buy
AMZN,positive,54.193399155486134,2025-01-22T12:41:43Z,buy
AMZN,neutral,54.193399155486134,2025-02-05T14:58:27Z,hold
AMZN,neutral,54.193399155486134,2025-01-16T19:50:00Z,hold
AMZN,negative,54.193399155486134,2025-01-28T13:02:00Z,sell
AMZN,negative,54.193399155486134,2025-01-28T13:07:00Z,sell
AMZN,positive,54.193399155486134,2025-01-27T13:15:00Z,buy
AMZN,positive,54.193399155486134,2025-01-09T15:59:00Z,buy
AMZN,positive,54.193399155486134,2025-01-10T18:36:00Z,buy
AMZN,positive,54.193399155486134,2025-01-28T16:18:00Z,buy
AMZN,negative,54.193399155486134,2025-01-28T13:25:00Z,sell
AMZN,negative,54.193399155486134,2025-02-02T12:00:00Z,sell
AMZN,positive,54.193399155486134,2025-01-31T15:57:35Z,buy
AMZN,negative,54.193399155486134,2025-01-31T19:45:00Z,sell
AMZN,positive,54.193399155486134,2025-02-04T18:09:21Z,buy
AMZN,negative,54.193399155486134,2025-02-06T16:27:00Z,sell
AMZN,neutral,54.193399155486134,2025-01-28T16:53:53Z,hold
AMZN,negative,54.193399155486134,2025-01-08T19:24:18Z,sell
AMZN,positive,54.193399155486134,2025-02-02T11:40:20Z,buy
AMZN,positive,54.193399155486134,2025-01-21T16:41:00Z,buy
AMZN,positive,54.193399155486134,2025-02-07T10:00:00Z,buy
AMZN,positive,54.193399155486134,2025-01-30T14:55:00Z,buy
AMZN,neutral,54.193399155486134,2025-02-05T21:59:00Z,hold
AMZN,neutral,54.193399155486134,2025-02-06T13:47:00Z,hold
